datetime,tanggal,jam,magnitude,kedalaman_km,lintang,bujur,wilayah,potensi_tsunami
2026-06-10T01:54:21+00:00,10 Jun 2026,8,5.3,10,5.57,125.38,209 km BaratLaut PULAUKARATUNG-SULUT,0
2026-06-09T16:49:18+00:00,09 Jun 2026,23,5.3,10,5.75,125.26,230 km BaratLaut PULAUKARATUNG-SULUT,0
2026-06-09T10:07:17+00:00,09 Jun 2026,17,5.9,10,6.27,124.61,311 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-09T06:15:14+00:00,09 Jun 2026,13,5.1,10,5.27,125.32,185 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T14:52:59+00:00,08 Jun 2026,21,5.5,10,5.69,124.71,246 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T13:37:50+00:00,08 Jun 2026,20,5.2,10,5.33,125.08,196 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T11:22:28+00:00,08 Jun 2026,18,5.5,10,5.5,125.21,212 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T09:28:25+00:00,08 Jun 2026,16,5.2,10,5.18,125.27,176 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T09:16:47+00:00,08 Jun 2026,16,5.3,10,5.18,125.48,174 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T08:13:36+00:00,08 Jun 2026,15,5.2,10,5.61,125.04,227 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T06:21:48+00:00,08 Jun 2026,13,5.2,10,5.21,125.21,180 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T05:11:59+00:00,08 Jun 2026,12,5.6,10,5.52,125.29,213 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T04:46:48+00:00,08 Jun 2026,11,5.8,29,4.74,125.3,127 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T01:10:54+00:00,08 Jun 2026,8,5.2,151,5.13,125.18,172 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-08T00:55:10+00:00,08 Jun 2026,7,6.0,10,5.41,125.29,201 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT,0
2026-06-09T17:40:18+00:00,10 Jun 2026,0,3.7,13,1.29,126.42,Pusat gempa berada di darat 120 km Barat Jailolo,0
2026-06-09T07:00:55+00:00,09 Jun 2026,14,3.5,10,-3.59,122.32,Pusat gempa berada di laut 25 km Timur Konawe Utara,0
2026-06-09T04:33:45+00:00,09 Jun 2026,11,2.3,5,-6.7,107.59,Pusat gempa berada di darat 18 km timur laut Kabupaten Bandung,0
2026-06-08T21:55:59+00:00,09 Jun 2026,4,3.7,7,-3.57,122.35,Pusat gempa berada di darat 27 km timur Konawe Utara,0
2026-06-08T16:09:52+00:00,08 Jun 2026,23,3.6,5,-3.55,122.25,Pusat gempa berada di darat 16 km Timur Konawe Utara,0
2026-06-08T16:09:13+00:00,08 Jun 2026,23,3.6,3,-3.54,122.3,Pusat gempa berada di darat 21 km Timur Konawe Utara,0
2026-06-08T06:39:24+00:00,08 Jun 2026,13,4.5,68,-0.88,100.25,Pusat gempa berada di laut 28 km selatan Padang Pariaman,0
2026-06-08T06:28:14+00:00,08 Jun 2026,13,3.8,3,-1.99,124.41,Pusat gempa berada di laut 5 km tenggara Bobong,0
2026-06-08T05:49:13+00:00,08 Jun 2026,12,3.0,4,4.75,96.81,Pusat gempa berada di darat 6 km barat laut Kabupaten Bener Meriah,0
2026-06-07T23:37:42+00:00,08 Jun 2026,6,7.7,105,5.69,125.05,Pusat gempa berada di laut 244 km barat laut Pulau Karatung,0
2026-06-07T13:06:08+00:00,07 Jun 2026,20,4.5,10,2.5,96.13,Pusat gempa berada di laut 27 km barat Sinabang,0
2026-06-07T06:13:31+00:00,07 Jun 2026,13,2.9,5,4.68,96.79,Pusat gempa berada di darat 9 km barat laut Takengon,0
2026-06-07T06:01:18+00:00,07 Jun 2026,13,2.5,5,4.67,96.83,Pusat gempa berada di darat 5 km utara Takengon,0
