datetime,tanggal,jam,magnitude,kedalaman_km,lintang,bujur,wilayah,potensi_tsunami
2026-06-01 00:00:00,01 Jun 2026,1,6.6,11,-0.95,108.34,Simulasi Drift Data,1
2026-06-01 02:00:00,01 Jun 2026,3,7.4,6,-3.05,114.51,Simulasi Drift Data,1
2026-06-01 04:00:00,01 Jun 2026,8,7.9,21,-4.94,138.92,Simulasi Drift Data,1
2026-06-01 06:00:00,01 Jun 2026,9,6.0,11,3.44,131.87,Simulasi Drift Data,1
2026-06-01 08:00:00,01 Jun 2026,8,6.6,5,4.48,112.59,Simulasi Drift Data,1
2026-06-01 10:00:00,01 Jun 2026,18,6.1,26,-2.58,127.02,Simulasi Drift Data,1
2026-06-01 12:00:00,01 Jun 2026,4,7.7,17,-3.39,114.58,Simulasi Drift Data,1
2026-06-01 14:00:00,01 Jun 2026,5,7.4,6,4.6,130.84,Simulasi Drift Data,1
2026-06-01 16:00:00,01 Jun 2026,20,7.7,8,3.93,108.14,Simulasi Drift Data,1
2026-06-01 18:00:00,01 Jun 2026,1,7.8,10,3.39,114.09,Simulasi Drift Data,1
2026-06-01 20:00:00,01 Jun 2026,23,6.3,14,-0.04,123.51,Simulasi Drift Data,1
2026-06-01 22:00:00,01 Jun 2026,3,6.9,25,-1.96,102.1,Simulasi Drift Data,1
2026-06-02 00:00:00,02 Jun 2026,23,7.1,6,5.4,128.54,Simulasi Drift Data,1
2026-06-02 02:00:00,02 Jun 2026,17,7.0,28,-6.03,125.66,Simulasi Drift Data,1
2026-06-02 04:00:00,02 Jun 2026,1,7.4,28,-5.8,140.37,Simulasi Drift Data,1
2026-06-02 06:00:00,02 Jun 2026,16,7.6,22,-9.28,128.21,Simulasi Drift Data,1
2026-06-02 08:00:00,02 Jun 2026,6,6.5,25,-4.14,123.7,Simulasi Drift Data,1
2026-06-02 10:00:00,02 Jun 2026,11,6.2,29,-2.19,122.02,Simulasi Drift Data,1
2026-06-02 12:00:00,02 Jun 2026,20,7.2,13,-9.23,124.96,Simulasi Drift Data,1
2026-06-02 14:00:00,02 Jun 2026,23,6.5,18,-5.31,139.09,Simulasi Drift Data,1
2026-06-02 16:00:00,02 Jun 2026,2,7.7,15,-3.82,100.06,Simulasi Drift Data,1
2026-06-02 18:00:00,02 Jun 2026,0,6.9,17,5.82,135.85,Simulasi Drift Data,1
2026-06-02 20:00:00,02 Jun 2026,12,7.4,18,5.61,109.8,Simulasi Drift Data,1
2026-06-02 22:00:00,02 Jun 2026,8,6.7,11,-9.03,95.21,Simulasi Drift Data,1
2026-06-03 00:00:00,03 Jun 2026,8,6.2,17,-4.0,105.8,Simulasi Drift Data,1
2026-06-03 02:00:00,03 Jun 2026,20,6.6,14,2.36,119.18,Simulasi Drift Data,1
2026-06-03 04:00:00,03 Jun 2026,7,6.3,19,-0.56,120.46,Simulasi Drift Data,1
2026-06-03 06:00:00,03 Jun 2026,15,6.5,18,0.99,120.18,Simulasi Drift Data,1
2026-06-03 08:00:00,03 Jun 2026,15,7.1,5,3.58,122.17,Simulasi Drift Data,1
2026-06-03 10:00:00,03 Jun 2026,5,6.7,22,-4.95,96.48,Simulasi Drift Data,1
2026-06-03 12:00:00,03 Jun 2026,14,7.5,27,0.91,140.96,Simulasi Drift Data,1
2026-06-03 14:00:00,03 Jun 2026,4,7.3,17,-0.12,114.61,Simulasi Drift Data,1
2026-06-03 16:00:00,03 Jun 2026,12,7.5,21,-9.88,102.34,Simulasi Drift Data,1
2026-06-03 18:00:00,03 Jun 2026,17,7.6,19,0.3,105.25,Simulasi Drift Data,1
2026-06-03 20:00:00,03 Jun 2026,9,7.1,16,-10.13,128.2,Simulasi Drift Data,1
2026-06-03 22:00:00,03 Jun 2026,0,6.5,8,-7.09,110.33,Simulasi Drift Data,1
2026-06-04 00:00:00,04 Jun 2026,21,8.0,27,-9.12,120.89,Simulasi Drift Data,1
2026-06-04 02:00:00,04 Jun 2026,15,6.2,13,-7.06,138.84,Simulasi Drift Data,1
2026-06-04 04:00:00,04 Jun 2026,9,6.8,9,5.16,116.41,Simulasi Drift Data,1
2026-06-04 06:00:00,04 Jun 2026,3,6.3,17,3.63,120.78,Simulasi Drift Data,1
2026-06-04 08:00:00,04 Jun 2026,19,7.0,10,-6.02,109.27,Simulasi Drift Data,1
2026-06-04 10:00:00,04 Jun 2026,22,7.6,14,5.21,128.49,Simulasi Drift Data,1
2026-06-04 12:00:00,04 Jun 2026,18,6.9,10,-8.94,128.15,Simulasi Drift Data,1
2026-06-04 14:00:00,04 Jun 2026,5,6.9,11,-7.93,113.11,Simulasi Drift Data,1
2026-06-04 16:00:00,04 Jun 2026,12,6.7,23,-3.27,112.34,Simulasi Drift Data,1
2026-06-04 18:00:00,04 Jun 2026,0,6.2,12,-10.07,126.04,Simulasi Drift Data,1
2026-06-04 20:00:00,04 Jun 2026,21,7.4,26,-4.01,126.03,Simulasi Drift Data,1
2026-06-04 22:00:00,04 Jun 2026,1,7.5,11,-1.31,133.99,Simulasi Drift Data,1
2026-06-05 00:00:00,05 Jun 2026,12,7.2,26,2.24,139.61,Simulasi Drift Data,1
2026-06-05 02:00:00,05 Jun 2026,11,7.8,16,2.0,108.67,Simulasi Drift Data,1
2026-06-05 04:00:00,05 Jun 2026,18,6.3,29,5.99,110.65,Simulasi Drift Data,1
2026-06-05 06:00:00,05 Jun 2026,11,6.4,24,-2.01,111.67,Simulasi Drift Data,1
2026-06-05 08:00:00,05 Jun 2026,17,7.7,18,3.14,121.4,Simulasi Drift Data,1
2026-06-05 10:00:00,05 Jun 2026,9,7.3,23,1.3,108.24,Simulasi Drift Data,1
2026-06-05 12:00:00,05 Jun 2026,1,7.0,12,2.07,122.39,Simulasi Drift Data,1
2026-06-05 14:00:00,05 Jun 2026,12,7.5,15,-6.01,119.44,Simulasi Drift Data,1
2026-06-05 16:00:00,05 Jun 2026,13,7.6,15,-1.37,103.89,Simulasi Drift Data,1
2026-06-05 18:00:00,05 Jun 2026,12,7.1,17,2.74,130.73,Simulasi Drift Data,1
2026-06-05 20:00:00,05 Jun 2026,3,7.4,6,-1.73,130.26,Simulasi Drift Data,1
2026-06-05 22:00:00,05 Jun 2026,8,6.5,5,3.54,99.26,Simulasi Drift Data,1
2026-06-06 00:00:00,06 Jun 2026,9,7.4,27,-2.43,122.15,Simulasi Drift Data,1
2026-06-06 02:00:00,06 Jun 2026,18,6.8,8,-6.72,124.34,Simulasi Drift Data,1
2026-06-06 04:00:00,06 Jun 2026,8,7.2,8,-9.1,99.61,Simulasi Drift Data,1
2026-06-06 06:00:00,06 Jun 2026,11,7.2,27,-6.62,105.04,Simulasi Drift Data,1
2026-06-06 08:00:00,06 Jun 2026,0,7.2,6,-0.49,128.62,Simulasi Drift Data,1
2026-06-06 10:00:00,06 Jun 2026,23,7.4,21,-3.17,105.61,Simulasi Drift Data,1
2026-06-06 12:00:00,06 Jun 2026,11,6.2,7,1.59,103.78,Simulasi Drift Data,1
2026-06-06 14:00:00,06 Jun 2026,3,6.4,9,-4.59,99.57,Simulasi Drift Data,1
2026-06-06 16:00:00,06 Jun 2026,18,6.6,9,2.1,119.27,Simulasi Drift Data,1
2026-06-06 18:00:00,06 Jun 2026,16,7.9,18,-5.54,140.72,Simulasi Drift Data,1
2026-06-06 20:00:00,06 Jun 2026,6,7.3,24,5.6,117.18,Simulasi Drift Data,1
2026-06-06 22:00:00,06 Jun 2026,16,6.3,8,-5.92,131.57,Simulasi Drift Data,1
2026-06-07 00:00:00,07 Jun 2026,2,7.4,17,3.68,133.23,Simulasi Drift Data,1
